type,n,extra_balls,seed,relaxation,mosek_code,pval,dval,rel_gap,eval_ratio,time
martinez,2.0,1.0,2.0,shor,PrimalAndDualFeasible,-0.032947746166332975,-0.9475576165633073,0.9146098703969743,1.1052894448428123,0.0007839202880859375
martinez,2.0,1.0,2.0,kron,PrimalAndDualFeasible,-0.8633154423487156,-0.8633154424408285,9.211287288479753e-11,29231410880.352863,0.005414009094238281
martinez,2.0,1.0,2.0,beta,PrimalAndDualFeasible,-0.8633154418807317,-0.8633154423789775,4.982457779689753e-10,4671439180.1994095,0.006479978561401367
martinez,2.0,1.0,36.0,shor,PrimalAndDualFeasible,-0.43490617501538437,-0.9421957150610663,0.5072895400456818,1.8318359141163156,0.0003139972686767578
martinez,2.0,1.0,36.0,kron,PrimalAndDualFeasible,-0.8898896488675773,-0.8898896490100632,1.4248591195809013e-10,7961122292.765564,0.0018768310546875
martinez,2.0,1.0,36.0,beta,PrimalAndDualFeasible,-0.8898896486826464,-0.8898896488908419,2.0819546087125218e-10,4656523336.784503,0.0010929107666015625
martinez,2.0,1.0,39.0,shor,PrimalAndDualFeasible,-0.32929366484370665,-0.7104318197846421,0.38113815494093545,5.690222374447062,0.0003609657287597656
martinez,2.0,1.0,39.0,kron,PrimalAndDualFeasible,-0.6847757194398905,-0.6847757195444053,1.0451484122597776e-10,26507196307.344986,0.00162506103515625
martinez,2.0,1.0,39.0,beta,PrimalAndDualFeasible,-0.6847757195840384,-0.6847757195894173,5.378919532006421e-12,744171055206.279,0.0006561279296875
martinez,2.0,1.0,40.0,shor,PrimalAndDualFeasible,-0.829144190884861,-1.091139923266768,0.261995732381907,6.3002811509054455,0.0005588531494140625
martinez,2.0,1.0,40.0,kron,PrimalAndDualFeasible,-1.0715363302705023,-1.0715363348355014,4.260237293648989e-09,429210899.0196553,0.0018620491027832031
martinez,2.0,1.0,40.0,beta,PrimalAndDualFeasible,-1.0715363350226255,-1.0715363352319967,1.9539345535068063e-10,9813699596.483278,0.0006341934204101562
martinez,2.0,1.0,61.0,shor,PrimalAndDualFeasible,-0.8920196358806942,-1.0811378465819939,0.18911821070129964,7.891841393055381,0.0003199577331542969
martinez,2.0,1.0,61.0,kron,PrimalAndDualFeasible,-1.0786125702456955,-1.0786125718710151,1.5068614071916434e-09,1069140722.8176149,0.0020618438720703125
martinez,2.0,1.0,61.0,beta,PrimalAndDualFeasible,-1.078612571050857,-1.0786125718822268,7.707770925680141e-10,2880400656.6522655,0.0011188983917236328
martinez,2.0,1.0,72.0,shor,PrimalAndDualFeasible,-0.12740058931942674,-0.8096746152481129,0.6822740259286861,1.6991216394375963,0.00028896331787109375
martinez,2.0,1.0,72.0,kron,PrimalAndDualFeasible,-0.709803490615122,-0.7098034908377855,2.2266344323895737e-10,11860963745.600252,0.0013501644134521484
martinez,2.0,1.0,72.0,beta,PrimalAndDualFeasible,-0.7098034907948125,-0.7098034908457049,5.089240140421225e-11,19280130515.79329,0.0005970001220703125
martinez,2.0,1.0,93.0,shor,PrimalAndDualFeasible,-0.09005947210066845,-0.44771395031988476,0.3576544782192163,1.2918349935280746,0.00029015541076660156
martinez,2.0,1.0,93.0,kron,PrimalAndDualFeasible,-0.4157519064639508,-0.41575190661141564,1.474648181343241e-10,6107932582.393819,0.005588054656982422
martinez,2.0,1.0,93.0,beta,PrimalAndDualFeasible,-0.41575190622052716,-0.41575190653013483,3.096076728326125e-10,2451919033.9191513,0.0021071434020996094
martinez,2.0,1.0,107.0,shor,PrimalAndDualFeasible,-0.3910266639153062,-0.792913318576746,0.40188665466143975,3.577452588666228,0.0016858577728271484
martinez,2.0,1.0,107.0,kron,PrimalAndDualFeasible,-0.7093440867282302,-0.7093440917586498,5.030419525375862e-09,426025769.6610196,0.0041239261627197266
martinez,2.0,1.0,107.0,beta,PrimalAndDualFeasible,-0.7093440914924225,-0.7093440918252423,3.328197717422654e-10,7563238010.995204,0.0021500587463378906
martinez,2.0,1.0,124.0,shor,PrimalAndDualFeasible,-0.0052578145156228625,-0.6776424533638419,0.672384638848219,2.240681903004089,0.0015769004821777344
martinez,2.0,1.0,124.0,kron,PrimalAndDualFeasible,-0.5047670645524562,-0.5047670645946969,4.224065541791333e-11,39006679753.787735,0.0040149688720703125
martinez,2.0,1.0,124.0,beta,PrimalAndDualFeasible,-0.5047670644887485,-0.5047670645615451,7.279654656855428e-11,49865513598.78444,0.0007262229919433594
martinez,2.0,1.0,137.0,shor,PrimalAndDualFeasible,0.05632687004663083,-0.5634151442667898,0.6197420143134207,2.6469563241157905,0.00026297569274902344
martinez,2.0,1.0,137.0,kron,PrimalAndDualFeasible,-0.21878577819423572,-0.21878577822985062,3.561489991810163e-11,28388384892.81354,0.0018389225006103516
martinez,2.0,1.0,137.0,beta,PrimalAndDualFeasible,-0.21878577673012495,-0.21878577810867492,1.3785499686225222e-09,364958042.1584554,0.0008859634399414062
martinez,2.0,1.0,173.0,shor,PrimalAndDualFeasible,-0.04809208279327847,-0.8202679194282305,0.772175836634952,1.4234591130841416,0.00026297569274902344
martinez,2.0,1.0,173.0,kron,PrimalAndDualFeasible,-0.7475529384336255,-0.7475529385349785,1.0135303707414778e-10,25732030029.622814,0.0012259483337402344
martinez,2.0,1.0,173.0,beta,PrimalAndDualFeasible,-0.7475529384226524,-0.7475529385027451,8.009271024178588e-11,48035854419.446625,0.00057220458984375
martinez,2.0,1.0,175.0,shor,PrimalAndDualFeasible,0.12534862000868643,-0.23747316568622356,0.36282178569490997,2.772279946903565,0.0004448890686035156
martinez,2.0,1.0,175.0,kron,PrimalAndDualFeasible,-0.054592554628620615,-0.05459255487180882,2.431882056841417e-10,2558235679.3384056,0.0012438297271728516
martinez,2.0,1.0,175.0,beta,PrimalAndDualFeasible,-0.05459255461474316,-0.05459255472934118,1.1459801857460761e-10,1797702127.7646775,0.00055694580078125
martinez,2.0,1.0,178.0,shor,PrimalAndDualFeasible,-0.10076194670391576,-0.5971067807049519,0.4963448340010362,4.472268902334944,0.0002880096435546875
martinez,2.0,1.0,178.0,kron,PrimalAndDualFeasible,-0.47377182597928674,-0.4737718259967795,1.749278499829643e-11,103652943255.45805,0.0024080276489257812
martinez,2.0,1.0,178.0,beta,PrimalAndDualFeasible,-0.47377182598578704,-0.4737718259961142,1.0327183552760744e-11,209217476805.72568,0.0009069442749023438
martinez,2.0,1.0,181.0,shor,PrimalAndDualFeasible,-0.1273974510744405,-0.7979232478791835,0.6705257968047429,1.3515596257684972,0.0002880096435546875
martinez,2.0,1.0,181.0,kron,PrimalAndDualFeasible,-0.7916470998279168,-0.7916471005653776,7.374607591259519e-10,2067619625.481684,0.0013549327850341797
martinez,2.0,1.0,181.0,beta,PrimalAndDualFeasible,-0.7916471010250338,-0.7916471012306235,2.0558976743245694e-10,8392850739.646537,0.0005269050598144531
martinez,2.0,1.0,200.0,shor,PrimalAndDualFeasible,0.010741304504903881,-0.4874676096244917,0.4982089141293956,1.8010641067292177,0.0004780292510986328
martinez,2.0,1.0,200.0,kron,PrimalAndDualFeasible,-0.3440960512539901,-0.3440960514281328,1.7414270025994938e-10,5482527193.238295,0.0018830299377441406
martinez,2.0,1.0,200.0,beta,PrimalAndDualFeasible,-0.34409605074047156,-0.34409605140714117,6.66669608406778e-10,1095201184.6049457,0.0004718303680419922
martinez,2.0,1.0,242.0,shor,PrimalAndDualFeasible,-0.12288207499806206,-0.809689172181919,0.686807097183857,2.6699687381002826,0.0002880096435546875
martinez,2.0,1.0,242.0,kron,PrimalAndDualFeasible,-0.6501210337296764,-0.6501210337626884,3.301192652571672e-11,23311538331.438953,0.0017518997192382812
martinez,2.0,1.0,242.0,beta,PrimalAndDualFeasible,-0.6501210337678796,-0.6501210338000049,3.212530241825107e-11,101633162521.3688,0.000993967056274414
martinez,2.0,1.0,263.0,shor,PrimalAndDualFeasible,-0.8998654235616461,-1.0334661817282413,0.13360075816659522,10.105488163060189,0.00031495094299316406
martinez,2.0,1.0,263.0,kron,PrimalAndDualFeasible,-1.0082648071851594,-1.0082648071866929,1.5208703414850983e-12,615953088671.546,0.0014729499816894531
martinez,2.0,1.0,263.0,beta,PrimalAndDualFeasible,-1.0082648071845268,-1.0082648071858251,1.2876526044989842e-12,502682959881.44366,0.0005600452423095703
martinez,2.0,1.0,278.0,shor,PrimalAndDualFeasible,-0.46790305662944465,-0.7129562833538469,0.24505322672440222,6.879607087921289,0.0005309581756591797
martinez,2.0,1.0,278.0,kron,PrimalAndDualFeasible,-0.6952441789751785,-0.695244178994691,1.9512502724694514e-11,1771401694339.2786,0.002466917037963867
martinez,2.0,1.0,278.0,beta,PrimalAndDualFeasible,-0.695244178941463,-0.6952441789552246,1.3761658479438665e-11,61295792004.912926,0.0007941722869873047
martinez,2.0,1.0,285.0,shor,PrimalAndDualFeasible,-0.4330698682155778,-0.9207192367196321,0.48764936850405427,3.1868874145753314,0.00039505958557128906
martinez,2.0,1.0,285.0,kron,PrimalAndDualFeasible,-0.8677099268315528,-0.8677099271610987,3.2954594608725074e-10,6548533304.256366,0.0019338130950927734
martinez,2.0,1.0,285.0,beta,PrimalAndDualFeasible,-0.8677099271484355,-0.8677099271868999,3.8464342821953323e-11,46653105304.04783,0.00067901611328125
martinez,2.0,1.0,292.0,shor,PrimalAndDualFeasible,-0.11328266185466088,-0.44519903703880503,0.3319163751841442,2.0109468677066156,0.0004119873046875
martinez,2.0,1.0,292.0,kron,PrimalAndDualFeasible,-0.4027700557121801,-0.40277006516458624,9.452406135590508e-09,142016619.47289312,0.0021190643310546875
martinez,2.0,1.0,292.0,beta,PrimalAndDualFeasible,-0.4027700655569819,-0.40277006558216727,2.5185353802470445e-11,72902334866.7461,0.0007390975952148438
martinez,2.0,1.0,295.0,shor,PrimalAndDualFeasible,-0.6420107432155563,-0.7168482093815672,0.07483746616601095,8.098518906107946,0.00041604042053222656
martinez,2.0,1.0,295.0,kron,PrimalAndDualFeasible,-0.7103499178399794,-0.710349917877768,3.778866108916645e-11,17397875739.178646,0.0022559165954589844
martinez,2.0,1.0,295.0,beta,PrimalAndDualFeasible,-0.7103499178838049,-0.7103499178877598,3.954947480622195e-12,264085728429.6221,0.0007529258728027344
martinez,2.0,1.0,305.0,shor,PrimalAndDualFeasible,-0.14854849977368775,-0.6700529788451322,0.5215044790714444,2.8694891465421155,0.00031685829162597656
martinez,2.0,1.0,305.0,kron,PrimalAndDualFeasible,-0.629828870180227,-0.6298288700851307,9.509637521887271e-11,12021249948.832653,0.001767873764038086
martinez,2.0,1.0,305.0,beta,PrimalAndDualFeasible,-0.6298288702487498,-0.6298288701985835,5.01663155461074e-11,19878584198.792606,0.0005688667297363281
martinez,2.0,1.0,335.0,shor,PrimalAndDualFeasible,-0.399639106696352,-1.0182779432573639,0.6186388365610118,2.8163675579950103,0.0002560615539550781
martinez,2.0,1.0,335.0,kron,PrimalAndDualFeasible,-0.7463511596628029,-0.746351159718181,5.5378146512907733e-11,28312124788.619534,0.0019390583038330078
martinez,2.0,1.0,335.0,beta,PrimalAndDualFeasible,-0.7463511593925091,-0.7463511596137475,2.2123847198685098e-10,6028302093.823229,0.0008859634399414062
martinez,2.0,1.0,338.0,shor,PrimalAndDualFeasible,-0.019096677768300763,-0.7736495961357357,0.7545529183674349,1.0280407629825423,0.0002620220184326172
martinez,2.0,1.0,338.0,kron,PrimalAndDualFeasible,-0.7105085894815087,-0.7105086322106617,4.272915299363689e-08,59790415.54652712,0.0021088123321533203
martinez,2.0,1.0,338.0,beta,PrimalAndDualFeasible,-0.7105085993239063,-0.7105086321219378,3.279803151290395e-08,81044045.08871034,0.0007321834564208984
martinez,2.0,1.0,340.0,shor,PrimalAndDualFeasible,-0.07480227908455969,-0.47351493792049504,0.3987126588359353,1.533862825155969,0.0003161430358886719
