type,n,m,seed,generator_timestamp,test_timestamp,relaxation,time
maxnorm,2,2,0,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0045931339263916
maxnorm,2,2,1,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0064289569854736
maxnorm,2,2,2,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0034558773040771
maxnorm,2,2,3,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0054829120635986
maxnorm,2,2,4,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0048010349273681
maxnorm,2,2,5,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0010578632354736
maxnorm,2,2,6,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0007541179656982
maxnorm,2,2,7,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0025060176849365
maxnorm,2,2,8,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0023150444030761
maxnorm,2,2,9,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0025279521942138
maxnorm,2,2,10,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0009419918060302
maxnorm,2,2,11,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0008080005645751
maxnorm,2,2,12,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0006930828094482
maxnorm,2,2,13,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0020451545715332
maxnorm,2,2,14,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0027508735656738
maxnorm,2,2,15,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0027940273284912
maxnorm,2,2,16,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0040860176086425
maxnorm,2,2,17,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0007908344268798
maxnorm,2,2,18,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0006790161132812
maxnorm,2,2,19,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0007541179656982
maxnorm,2,2,20,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0006940364837646
maxnorm,2,2,21,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0007510185241699
maxnorm,2,2,22,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0007200241088867
maxnorm,2,2,23,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0007979869842529
maxnorm,2,2,24,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.003957986831665
maxnorm,2,2,25,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0023248195648193
maxnorm,2,2,26,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0051372051239013
