type,n,extra_balls,seed,relaxation,mosek_code,pval,dval,rel_gap,eval_ratio,time
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_225.mat,beta,PrimalAndDualFeasible,-132.85928077917006,-132.85928077921685,3.521179209166045e-13,9058373817687.6,0.31627798080444336
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_475.mat,beta,PrimalAndDualFeasible,-14.624523741773068,-14.624523827296835,5.847969402861834e-09,721972040.7394024,0.011402130126953125
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_538.mat,beta,PrimalAndDualFeasible,-78.77442027501853,-78.77442027664642,2.0665287468830334e-11,216808234664.09488,0.03194904327392578
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_869.mat,beta,PrimalAndDualFeasible,-83.26497176520432,-83.26497177338877,9.829395448482621e-11,49586584341.67412,0.04305601119995117
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_841.mat,beta,PrimalAndDualFeasible,-62.63036155538795,-62.63036155583862,7.195692702221191e-12,577470591423.1935,0.0322721004486084
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_190.mat,beta,PrimalAndDualFeasible,-133.66118691041646,-133.66118691093428,3.8740874301720965e-12,743155898888.7618,0.3399989604949951
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_673.mat,beta,PrimalAndDualFeasible,-82.96399939531152,-82.96399940277182,8.992214545572163e-11,47218771220.542175,0.03911399841308594
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_152.mat,beta,PrimalAndDualFeasible,-145.80817640348857,-145.80817640365638,1.1508392506923495e-12,1003284189074754.4,0.36374998092651367
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_263.mat,beta,PrimalAndDualFeasible,-63.17661582114031,-63.176615877147505,8.865178131681393e-10,3490784974.085655,0.0427851676940918
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_556.mat,beta,PrimalAndDualFeasible,-109.4704375312376,-109.47043753156512,2.991965564968387e-12,1553273578730.8105,0.3240809440612793
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_218.mat,beta,PrimalAndDualFeasible,-123.62925329202122,-123.62925329202223,8.161261658647056e-15,3273370810189858.5,0.3402590751647949
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_31.mat,beta,PrimalAndDualFeasible,-156.8832617105026,-156.88326175491468,2.830899568522519e-10,18314960641.363495,0.26888108253479004
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_998.mat,beta,PrimalAndDualFeasible,-126.37830952515156,-126.37830976570255,1.9034198952395652e-09,1992521351.7142057,0.3388969898223877
