type,n,m,seed,generator_timestamp,test_timestamp
martinez,2,1,2,2023-10-26 00:02:46,2023-10-27 21:47:07
martinez,2,1,36,2023-10-26 00:02:46,2023-10-27 21:47:07
martinez,2,1,39,2023-10-26 00:02:46,2023-10-27 21:47:07
martinez,2,1,40,2023-10-26 00:02:46,2023-10-27 21:47:07
martinez,2,1,61,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,72,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,93,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,107,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,124,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,137,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,173,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,175,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,178,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,181,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,200,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,242,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,263,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,278,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,285,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,292,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,295,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,305,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,335,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,338,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,340,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,343,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,345,2023-10-26 00:02:46,2023-10-27 21:47:08
martinez,2,1,363,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,443,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,469,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,473,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,475,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,480,2023-10-26 00:02:46,2023-10-27 21:47:09
